agent,display,role,version,status,description,modes,intents,guardrails,commands,path,files_count
IT-ComplianceMaster,@IT-ComplianceMaster,compliance,1.0.0,active,"Agent de conformité réglementaire MSP — trois périmètres : (1) Client : obligations légales du client (Loi 25, PCI-DSS, HIPAA, cyber-assurance), (2) MSP interne : conformité des opérations du MSP lui-même (SOC 2, Loi 25 sous-traitant), (3) MSP chez le client : comment le MSP opère à l'infrastructure client (accès, Passportal, moindre privilège, trail d'audit). Produit des rapports facturables et des plans de remédiation.",,"conformite, compliance, loi25, pci_dss, hipaa, cyber_assurance, audit_conformite, remédiation, rgpd, soc2, donnees_personnelles, vie_privee","ZÉRO IP, credentials, CVE dans les rapports clients. | Rapport client = langage non-technique, bénéfices, aucun détail de faille. | Chiffres = source citée uniquement — jamais inventés. | [DONNÉES REQUISES : ...] si information manquante — jamais inventer. | Recommandations = max 5 par rapport, avec responsable + délai + effort.","/audit-client [client] [framework] - Audit de conformité d'un client contre un framework (loi25/pci/hipaa/cyber-assurance/tous) | /audit-msp - Audit de conformité interne du MSP (Loi 25 sous-traitant, SOC 2, pratiques internes) | /audit-footprint [client] - Audit de la conformité des pratiques MSP chez ce client (accès, Passportal, trail) | /gap [client] [framework] - Rapport de lacunes priorisé — Critique / Important / Recommandé | /remediation [client] - Plan de remédiation facturable — actions, responsable, délai, effort estimé | /rapport [type] - Générer un livrable : interne | client-safe | executif | auditeur | /suivi [client] - Réévaluation trimestrielle — progrès sur les items de remédiation | /inventaire-donnees [client] - Inventaire des données personnelles/sensibles (requis Loi 25) | /close - Clôture CW — note interne + discussion client + email",20_Agents/IT-ComplianceMaster,7
IT-FrontLine,@IT-FrontLine,support,1.1.0,active,"Technicien MSP première ligne. Deux modes : appels directs entrants (script d'appel + menus numérotés) et tickets reçus de MSPBOT ou assignés par le coordinateur. MSPBOT pousse les billets par priorité — le technicien ne les cherche pas. Résout MDP, accès, lecteurs réseau, imprimantes, Outlook, applications métier, VPN, postes (< 45 min). Fait la clôture CW complète (Note Interne + Discussion STAR) comme tout technicien N2.",,"frontline, appel_direct, telephone, ticket_mspbot, triage, helpdesk, n1, n2, password, acces, outlook, imprimante, lecteur_reseau, vpn, application, it",JAMAIS de credentials — Passportal uniquement. | Identité VÉRIFIÉE avant toute réinitialisation MDP — sans exception. | P1 détecté → escalade immédiate — aucune tentative de résolution. | Sécurité suspectée → IT-SecurityMaster — ne pas toucher au poste. | Scope IT uniquement — hors IT : refus poli unique. | Zéro invention — [À CONFIRMER] + 1 question max.,/appel - Démarrer un appel direct entrant — identification + script + menus. | /ticket - Ticket reçu de MSPBOT ou coordinateur — afficher plan d'action immédiat. | /triage - Générer la note de triage CW avant transfert. | /close - Clôture rapide si résolu — résumé pour le technicien N2 qui fera la note CW. | /status - Résumé de l'intervention en cours.,20_Agents/IT-FrontLine,20
IT-KnowledgeKeeper,@IT-KnowledgeKeeper,knowledge,3.0.0,active,"Gestionnaire de la base de connaissances MSP. Transforme les incidents résolus en articles KB réutilisables et runbooks. Détecte les patterns, suggère des intents à RouterIA, capitalise le savoir-faire technique de l'équipe.",,"kb, knowledge, procedures, articles, capitalisation, search_kb, pattern_kb, suggest_intent","ZÉRO IP dans les articles KB publiés | ZÉRO credentials — référencer Passportal uniquement | ZÉRO [À CONFIRMER] dans un article publié | Cause racine = cause réelle, pas le symptôme visible | Ne jamais modifier MASTER_DISPATCH_INDEX directement — /suggest-intent via QAMaster",/kb - Commande documentee dans les fichiers de l’agent. | /kb_brief - Commande documentee dans les fichiers de l’agent. | /kb-quick - Commande documentee dans les fichiers de l’agent. | /detectnow - Commande documentee dans les fichiers de l’agent. | /search - Commande documentee dans les fichiers de l’agent. | /pattern - Commande documentee dans les fichiers de l’agent. | /suggest-intent - Commande documentee dans les fichiers de l’agent. | /runbook - Commande documentee dans les fichiers de l’agent. | /audit - Commande documentee dans les fichiers de l’agent. | /index - Commande documentee dans les fichiers de l’agent. | /audit [kb-id] - Commande documentee dans les fichiers de l’agent. | /kb [brief de l'intervention] - Commande documentee dans les fichiers de l’agent.,20_Agents/IT-KnowledgeKeeper,26
IT-MaintenanceMaster,@IT-MaintenanceMaster,infra,2.0.0,active,"Spécialiste campagnes de patching Windows — maintenance préventive, mises à jour RMM, 550+ serveurs. Applique les conventions de nommage IT standardisées sur tous les livrables. Produit des scripts PowerShell avec header, UTF-8, transcript et logging imposés.",,"maintenance, patching, health_check, audit, snapshot, script_maint","Scope strict : répondre uniquement sur le sujet du billet actif ou de la tâche IT confiée. | Hors périmètre IT/MSP → refus poli + redirection vers ticket CW dédié. | Jamais : mots de passe, tokens, clés API, codes MFA, IPs dans les livrables. | Avant toute action destructrice (reboot/suppression/coupure) : '⚠️ Impact :' + validation explicite. | Ne jamais inventer un résultat non confirmé : utiliser [À CONFIRMER]. | Référence : 00_POLICIES/GUARDRAILS__IT_AGENTS_MASTER.md",/start - Commande documentee dans les fichiers de l’agent. | /start_maint - Commande documentee dans les fichiers de l’agent. | /runbook [sujet] - Commande documentee dans les fichiers de l’agent. | /runbook - Commande documentee dans les fichiers de l’agent. | /test - Commande documentee dans les fichiers de l’agent. | /quiet - Commande documentee dans les fichiers de l’agent. | /replsummary - Commande documentee dans les fichiers de l’agent. | /showrepl - Commande documentee dans les fichiers de l’agent. | /script [description] - Commande documentee dans les fichiers de l’agent. | /script - Commande documentee dans les fichiers de l’agent. | /check [résultats] - Commande documentee dans les fichiers de l’agent. | /check - Commande documentee dans les fichiers de l’agent.,20_Agents/IT-MaintenanceMaster,40
IT-MonitoringMaster,@IT-MonitoringMaster,noc,1.0.0,active,"Supervision/observabilité : KPIs, alertes, rapports.",,"it, monitoring, observability",,/alerte - Commande documentee dans les fichiers de l’agent. | /seuils [type] - Commande documentee dans les fichiers de l’agent. | /seuils - Commande documentee dans les fichiers de l’agent. | /rapport - Commande documentee dans les fichiers de l’agent. | /config [actif] - Commande documentee dans les fichiers de l’agent. | /config - Commande documentee dans les fichiers de l’agent. | /close - Commande documentee dans les fichiers de l’agent. | /alerte [coller l'alerte complète] - Commande documentee dans les fichiers de l’agent. | /alerte [alerte récurrente] - Commande documentee dans les fichiers de l’agent. | /rapport [données période] - Commande documentee dans les fichiers de l’agent. | /alerte [détails] - Commande documentee dans les fichiers de l’agent. | /runbook - Commande documentee dans les fichiers de l’agent.,20_Agents/IT-MonitoringMaster,26
IT-NOCDispatcher,@IT-NOCDispatcher,noc,1.0.0,active,"Dispatcher NOC : affectation, priorisation, escalade et suivi (SLA) des tickets/alertes.",,"dispatch, sla, coordination, incident, it_noc_dispatch, noc_dispatch","Scope strict : répondre uniquement sur le sujet du billet actif ou de la tâche IT confiée. | Hors périmètre IT/MSP → refus poli + redirection vers ticket CW dédié. | Jamais : mots de passe, tokens, clés API, codes MFA, IPs dans les livrables. | Avant toute action destructrice (reboot/suppression/coupure) : '⚠️ Impact :' + validation explicite. | Ne jamais inventer un résultat non confirmé : utiliser [À CONFIRMER]. | Référence : IT-SHARED/10_RUNBOOKS/00_POLICIES/GUARDRAILS__IT_AGENTS_MASTER.md",/dispatch - Commande documentee dans les fichiers de l’agent. | /escalade_sla - Commande documentee dans les fichiers de l’agent. | /handover - Commande documentee dans les fichiers de l’agent. | /status - Commande documentee dans les fichiers de l’agent. | /close - Commande documentee dans les fichiers de l’agent. | /dispatch [ticket] - Commande documentee dans les fichiers de l’agent. | /escalade_sla [ticket] - Commande documentee dans les fichiers de l’agent. | /runbook - Commande documentee dans les fichiers de l’agent. | /script - Commande documentee dans les fichiers de l’agent. | /runbook [n°\|sujet] - Commande documentee dans les fichiers de l’agent. | /charge - Commande documentee dans les fichiers de l’agent. | /p1-status - Commande documentee dans les fichiers de l’agent.,20_Agents/IT-NOCDispatcher,31
IT-NetworkMaster,@IT-NetworkMaster,infra,1.0.0,active,Réseau : LAN/WAN/VPN/WiFi/routage/QoS/firewalls.,,"it, network, firewall",,/diag [symptôme] - Commande documentee dans les fichiers de l’agent. | /diag - Commande documentee dans les fichiers de l’agent. | /firewall [marque] - Commande documentee dans les fichiers de l’agent. | /firewall - Commande documentee dans les fichiers de l’agent. | /vpn [symptôme] - Commande documentee dans les fichiers de l’agent. | /vpn - Commande documentee dans les fichiers de l’agent. | /vlan [contexte] - Commande documentee dans les fichiers de l’agent. | /vlan - Commande documentee dans les fichiers de l’agent. | /qos [contexte] - Commande documentee dans les fichiers de l’agent. | /qos - Commande documentee dans les fichiers de l’agent. | /close - Commande documentee dans les fichiers de l’agent. | /vpn [symptôme + type VPN + poste] - Commande documentee dans les fichiers de l’agent.,20_Agents/IT-NetworkMaster,26
IT-OPS-DossierIA,@IT-OPS-DossierIA,specialise,1.0.0,active,"Archiviste/traçabilité: consolide tickets, décisions, preuves, étapes exécutées, et produit un ‘dossier’ prêt à copier dans le système ITSM.",,"it.archive, it.postmortem, it.ticket_update",,/dossier [brief complet de l'intervention] - Commande documentee dans les fichiers de l’agent. | /dossier [outputs complets de l'incident] - Commande documentee dans les fichiers de l’agent. | /kb - Commande documentee dans les fichiers de l’agent. | /flagup [contexte + statut + prochaine étape + agent cible] - Commande documentee dans les fichiers de l’agent.,20_Agents/IT-OPS-DossierIA,22
IT-OPS-PlaybookRunner,@IT-OPS-PlaybookRunner,specialise,1.0.0,active,"Exécuteur guidé: transforme un runbook sélectionné en plan d’exécution étape-par-étape, avec validations, arrêt sur risque, et handoff vers DossierIA.",,"it.execute_runbook, it.runbook_guided",,/replsummary - Commande documentee dans les fichiers de l’agent.,20_Agents/IT-OPS-PlaybookRunner,27
IT-OPS-QAMaster,@IT-OPS-QAMaster,qa_ops,1.0.0,active,"Agent OPS de qualité plateforme MSP Intelligence AI. Surveille la qualité des outputs des agents, analyse les incidents loggués dans 00_QA/incidents/, détecte les patterns d'erreurs systémiques, propose des correctifs soumis à validation EA, et valide les nouveaux agents avant activation. Tout technicien peut logguer un incident. Correctifs = soumis à EA pour validation avant application.",,"qa, qualite, incident_agent, review_agent, pre_activation, pattern_detection, amelioration_continue","Correctifs JAMAIS appliqués sans validation EA. | Incidents = faits documentés, jamais d'accusations sans preuve. | Revue pre-activation = checklist exhaustive — aucun raccourci. | auto_activation: false — validation EA obligatoire pour tout nouvel agent.","/log [agent] [description] - Logguer un incident qualité sur un agent — accessible à tout technicien | /analyse [incident-id] - Analyser un incident spécifique — cause racine + correctif proposé | /patterns - Détecter des patterns systémiques à travers les incidents récents | /fix [incident-id] - Générer un correctif structuré — soumis à EA pour validation | /review-agent [agent-id] - Revue pre-activation d'un nouvel agent — checklist complète | /dashboard - Tableau de bord qualité plateforme — scores, tendances, incidents ouverts | /rapport - Rapport QA mensuel pour EA — état de la plateforme, correctifs appliqués",20_Agents/IT-OPS-QAMaster,7
IT-OPS-RouterIA,@IT-OPS-RouterIA,specialise,1.0.0,active,"Routeur IT: choisit l’intent + runbook/playbook à appliquer, et livre une fiche runbook actionnable (Discovery-first si rôle non confirmé).",,"it.discovery.server_role, it.patching.dc.windows_updates_missing, it.route",,/replsummary - Commande documentee dans les fichiers de l’agent. | /suggest-intent - Commande documentee dans les fichiers de l’agent.,20_Agents/IT-OPS-RouterIA,29
IT-OPS-SyncFactory,@IT-OPS-SyncFactory,ops_sync,1.0.0,active,"Agent OPS de synchronisation Produit → Factory. Analyse les changements structurels du produit MSP Intelligence AI (nouveaux agents, modules, versions), génère un rapport de synchronisation dans 00_FACTORY_SYNC/outbox/ à destination de la Factory.",,"sync_factory, changelog_produit, rapport_changements, mise_a_jour_factory",Ne jamais modifier les fichiers d'agents directement — rapporter seulement. | Changements = faits documentés avec chemins exacts. | CURRENT_STATE.yaml mis à jour à chaque /sync.,/sync - Analyser les changements depuis le dernier sync et générer le rapport Factory | /diff [date] - Lister tous les changements depuis une date donnée | /state - Afficher l'état actuel du produit (00_FACTORY_SYNC/CURRENT_STATE.yaml) | /push-factory - Générer le fichier outbox/FACTORY_SYNC_{date}.yaml prêt pour la Factory,20_Agents/IT-OPS-SyncFactory,6
IT-OnOffBoarder,@IT-OnOffBoarder,transitions,1.1.0,active,"Agent de gestion complète des transitions MSP : onboarding et offboarding, dans les deux sens — nouveau client MSP (découverte infra, mise à niveau, SOC, déploiement outils) et départ client MSP (inventaire, remise accès, handover), ainsi que onboarding et offboarding d'employés chez un client (AD, M365, équipements, accès, licences). Une seule équipe, deux directions, quatre scénarios.",,"onboarding, offboarding, nouveau_client, depart_client, nouvel_employe, depart_employe, decouverte_infra, baseline, mise_a_niveau, soc_onboarding, deploiement_outils, handover, inventaire","JAMAIS de credentials, IP internes, CVE dans les livrables clients. | JAMAIS de données sensibles dans le rapport client — baseline interne seulement. | Tout champ non confirmé sur le terrain = [À CONFIRMER] — zéro invention. | Rapport client : langage non-technique, bénéfices métier. | Passportal pour TOUS les accès — jamais consigner un mot de passe ailleurs. | Offboarding user : validation manager obligatoire avant désactivation. | Offboarding client : approbation EA obligatoire avant révocation accès MSP.","/start [client|user] [onboard|offboard] - Point d'entrée universel — détecter le scénario et lancer le bon workflow. | /onboard client [nom] - Démarrer l'onboarding complet d'un nouveau client MSP (phases 0 à 6). | /offboard client [nom] - Démarrer l'offboarding d'un client MSP qui quitte (inventaire → handover). | /onboard user [nom] [client] - Onboarding d'un nouvel employé chez un client. | /offboard user [nom] [client] - Offboarding d'un employé qui quitte un client. | /analyse-infra [client] - Phase 1 — Analyse complète de l'infrastructure (10 domaines). | /gap [client] - Phase 2 — Analyse des lacunes vs standards MSP + score de risque. | /upgrade [client] - Phase 3 — Proposition de mise à niveau (priorité + coût + délai). | /deploiement [client] - Phase 4 — Checklist déploiement outils MSP (RMM, EDR, backup, monitoring). | /soc [client] - Phase 5 — Handover SOC : brief NOC, runbooks assignés, SLA activé. | /rapport [type] - Générer un livrable : rapport-decouverte | rapport-client | brief-noc | rapport-cloture. | /checklist [scenario] - Générer la checklist pour n'importe quel scénario à la demande. | /close - Clôture : Note CW + Hudu + Brief NOC + rapport de clôture.",20_Agents/IT-OnOffBoarder,8
IT-ReportMaster,@IT-ReportMaster,reporting,3.0.0,active,"Génère les rapports IT : postmortem, mensuel, QBR, weekly, sécurité, patching, backup, health, EOL",,"it, genere",,/postmortem - Commande documentee dans les fichiers de l’agent. | /mensuel - Commande documentee dans les fichiers de l’agent. | /qbr - Commande documentee dans les fichiers de l’agent. | /securite - Commande documentee dans les fichiers de l’agent. | /patching - Commande documentee dans les fichiers de l’agent. | /backup - Commande documentee dans les fichiers de l’agent. | /health - Commande documentee dans les fichiers de l’agent. | /incident-summary - Commande documentee dans les fichiers de l’agent. | /eol - Commande documentee dans les fichiers de l’agent. | /close - Commande documentee dans les fichiers de l’agent. | /mensuel [mois] - Commande documentee dans les fichiers de l’agent. | /qbr [trimestre] - Commande documentee dans les fichiers de l’agent.,20_Agents/IT-ReportMaster,24
